Tempo,G frontal,G vertical,G lateral,ID antena,RSSI,Fase,Frequencia,Atividade,Sexo,Quarto,Pessoa
0.0,-0.13836,0.97377,0.16876,2,-46.0,5.8905,923.75,4,F,d1,p29
0.25,-0.056282,0.87042,0.15736,2,-50.0,4.5099,924.25,4,F,d1,p29
1.25,-0.11491,0.88191,0.10035,2,-58.5,6.2034,921.75,2,F,d1,p29
2.0,-0.11491,0.88191,0.10035,2,-55.0,4.108,925.25,2,F,d1,p29
3.75,-0.11491,0.88191,0.10035,2,-54.5,3.9132,925.75,2,F,d1,p29
4.5,-0.11491,0.88191,0.10035,2,-55.0,4.0927,925.25,2,F,d1,p29
7.25,0.24858,0.99674,-0.059296,2,-57.0,4.9011,923.75,2,F,d1,p29
8.75,0.24858,0.99674,-0.059296,2,-54.0,0.60132,925.75,2,F,d1,p29
9.5,0.24858,0.99674,-0.059296,2,-55.5,4.266,924.75,2,F,d1,p29
82.0,0.20168,1.0082,0.020525,2,-56.0,4.9026,922.75,4,F,d1,p29
82.25,0.20168,1.0082,0.020525,2,-55.5,5.3244,922.25,4,F,d1,p29
83.0,0.41273,0.91636,0.020525,2,-47.5,5.8107,924.25,4,F,d1,p29
83.25,0.41273,0.91636,0.020525,2,-47.5,5.8138,924.25,4,F,d1,p29
83.325,0.28376,1.0082,0.043332,2,-46.5,2.6768,924.25,4,F,d1,p29
83.5,0.13132,1.0197,0.0091224,2,-48.5,0.010738,923.25,4,F,d1,p29
88.25,0.23685,1.0197,0.031928,3,-55.0,2.2227,924.25,1,F,d1,p29
90.0,0.23685,1.0197,0.031928,3,-56.0,4.605,924.75,1,F,d1,p29
107.0,0.23685,1.0197,0.031928,4,-59.0,5.6512,923.75,1,F,d1,p29
114.75,0.23685,1.0197,0.031928,4,-55.5,0.72404,924.25,1,F,d1,p29
115.75,0.23685,1.0197,0.031928,4,-56.5,5.935,925.75,1,F,d1,p29
117.75,0.48309,0.16995,0.89856,3,-68.5,0.029146,920.25,3,F,d1,p29
119.0,0.48309,0.16995,0.89856,4,-56.0,0.71944,925.25,3,F,d1,p29
119.25,0.48309,0.16995,0.89856,4,-57.0,2.0402,923.75,3,F,d1,p29
120.75,0.48309,0.16995,0.89856,4,-55.5,0.32981,925.75,3,F,d1,p29
121.25,0.48309,0.16995,0.89856,4,-56.0,0.74858,925.25,3,F,d1,p29
121.75,0.48309,0.16995,0.89856,4,-57.0,2.0739,923.75,3,F,d1,p29
123.25,0.48309,0.16995,0.89856,4,-56.5,0.10738,925.75,3,F,d1,p29
126.25,0.51826,0.15847,0.92136,4,-57.0,0.42798,925.25,3,F,d1,p29
128.75,0.51826,0.15847,0.92136,4,-57.5,0.51542,925.25,3,F,d1,p29
131.0,0.51826,0.15847,0.92136,4,-57.5,0.30066,925.25,3,F,d1,p29
133.5,0.51826,0.15847,0.92136,4,-57.5,0.29299,925.25,3,F,d1,p29
136.0,0.51826,0.15847,0.92136,4,-56.5,0.3881,925.25,3,F,d1,p29
136.5,0.51826,0.15847,0.92136,4,-57.5,1.7288,923.75,3,F,d1,p29
138.5,0.51826,0.15847,0.92136,4,-56.5,0.20862,925.25,3,F,d1,p29
139.5,0.51826,0.15847,0.92136,4,-58.0,2.2304,923.25,3,F,d1,p29
0.0,0.27203,1.0082,-0.082102,1,-63.5,2.4252,924.25,1,M,d1,p01
0.5,0.27203,1.0082,-0.082102,1,-63.0,4.7369,921.75,1,M,d1,p01
1.5,0.44791,0.91636,-0.013684,1,-63.5,3.0311,923.75,1,M,d1,p01
1.75,0.44791,0.91636,-0.013684,1,-63.0,2.0371,921.25,1,M,d1,p01
2.5,0.34238,0.96229,-0.059296,1,-63.5,5.892,920.25,1,M,d1,p01
3.25,0.34238,0.96229,-0.059296,4,-56.5,1.2563,924.75,1,M,d1,p01
4.0,0.30721,0.99674,-0.070699,1,-63.5,3.8718,922.75,1,M,d1,p01
5.0,0.27203,0.99674,-0.093505,1,-64.0,2.4943,924.25,1,M,d1,p01
5.5,0.23685,1.0312,-0.12771,1,-64.5,2.008,924.75,1,M,d1,p01
6.0,0.23685,1.0312,-0.12771,1,-66.0,1.1904,925.75,1,M,d1,p01
6.5,0.23685,1.0312,-0.12771,1,-63.0,0.61206,922.75,1,M,d1,p01
6.75,0.23685,1.0312,-0.12771,1,-65.0,1.6506,925.25,1,M,d1,p01
7.75,0.31893,0.99674,-0.070699,1,-62.0,4.8075,921.75,1,M,d1,p01
8.0,0.31893,0.99674,-0.070699,4,-56.5,4.5252,924.75,1,M,d1,p01
9.0,0.47136,0.92784,-0.0022806,1,-62.5,3.8135,922.75,1,M,d1,p01
9.75,0.40101,0.93932,-0.025087,1,-64.0,2.413,924.25,1,M,d1,p01
10.0,0.40101,0.93932,-0.025087,1,-62.5,1.5309,921.75,1,M,d1,p01
10.5,0.40101,0.93932,-0.025087,1,-64.5,5.2247,924.75,1,M,d1,p01
10.75,0.40101,0.93932,-0.025087,4,-58.0,0.50468,925.75,1,M,d1,p01
12.0,0.30721,0.99674,-0.070699,1,-64.0,2.462,924.25,1,M,d1,p01
12.5,0.30721,0.99674,-0.070699,1,-63.0,5.9089,920.25,1,M,d1,p01
13.0,0.30721,0.99674,-0.070699,1,-64.0,1.9926,924.75,1,M,d1,p01
14.0,0.41273,0.93932,-0.0022806,1,-62.0,1.9221,921.25,1,M,d1,p01
15.25,0.27203,1.0082,-0.10491,4,-57.0,1.3714,924.75,1,M,d1,p01
15.5,0.27203,1.0082,-0.10491,1,-62.0,1.0845,922.25,1,M,d1,p01
16.5,0.24858,1.0312,-0.093505,1,-65.0,4.5697,925.25,1,M,d1,p01
17.5,0.2603,1.0197,-0.10491,1,-62.5,1.5064,921.75,1,M,d1,p01
18.5,0.31893,0.99674,-0.070699,1,-64.0,5.9963,923.75,1,M,d1,p01
18.75,0.31893,0.99674,-0.070699,1,-62.0,1.9205,921.25,1,M,d1,p01
19.25,0.31893,0.99674,-0.070699,1,-62.5,2.2764,920.75,1,M,d1,p01
20.0,0.43619,0.91636,0.0091224,1,-63.0,6.2663,923.25,1,M,d1,p01
21.0,0.47136,0.92784,0.020525,1,-64.0,2.8532,923.75,1,M,d1,p01
22.75,0.2134,1.0312,-0.12771,1,-64.5,4.9087,924.75,1,M,d1,p01
23.0,0.2134,1.0312,-0.12771,4,-57.5,0.54763,925.75,1,M,d1,p01
23.25,0.2134,1.0312,-0.12771,1,-63.5,5.7724,923.75,1,M,d1,p01
24.5,0.23685,1.0197,-0.10491,1,-62.5,5.6635,920.25,1,M,d1,p01
26.25,0.23685,1.0197,-0.10491,1,-62.0,4.8934,921.25,1,M,d1,p01
27.75,0.20168,1.0312,-0.11631,1,-62.5,0.84522,922.25,1,M,d1,p01
28.5,0.50654,0.91636,0.020525,1,-62.5,1.7518,921.25,1,M,d1,p01
29.0,0.50654,0.91636,0.020525,1,-62.0,5.3214,920.75,1,M,d1,p01
29.5,0.50654,0.91636,0.020525,1,-62.5,2.5541,920.25,1,M,d1,p01
29.75,0.50654,0.91636,0.020525,1,-63.0,6.2341,923.25,1,M,d1,p01
30.5,0.42446,0.91636,-0.0022806,1,-59.5,0.20555,923.75,1,M,d1,p01
30.75,0.42446,0.91636,-0.0022806,1,-58.5,1.2809,922.75,1,M,d1,p01
31.75,0.24858,1.0082,-0.16192,1,-59.5,6.2004,920.25,1,M,d1,p01
32.5,0.34238,0.97377,-0.047893,1,-59.5,1.3867,922.25,1,M,d1,p01
33.0,0.34238,0.97377,-0.047893,1,-61.5,6.2387,923.75,1,M,d1,p01
33.5,0.30721,0.97377,-0.03649,1,-63.0,1.7671,925.25,1,M,d1,p01
34.0,0.15478,1.0197,-0.13912,1,-61.5,2.6323,924.25,1,M,d1,p01
34.5,0.15478,1.0197,-0.13912,1,-60.0,1.8024,921.75,1,M,d1,p01
35.5,0.56517,0.87042,0.11175,4,-57.0,4.5636,923.75,1,M,d1,p01
35.6,0.56517,0.87042,0.11175,3,-57.0,6.0377,922.75,1,M,d1,p01
35.75,0.56517,0.87042,0.11175,1,-65.5,4.5437,922.75,1,M,d1,p01
36.25,0.56517,0.87042,0.11175,4,-60.0,4.5789,920.75,1,M,d1,p01
37.0,0.56517,0.87042,0.11175,1,-58.5,1.985,921.75,1,M,d1,p01
37.75,1.0694,0.29627,-0.013684,4,-67.0,1.0324,925.75,3,M,d1,p01
38.0,1.0694,0.29627,-0.013684,3,-50.0,5.0928,923.75,3,M,d1,p01
38.1,1.0694,0.29627,-0.013684,4,-67.0,5.7984,923.75,3,M,d1,p01
38.5,0.82312,-0.071196,-0.10491,3,-53.0,0.47707,925.25,3,M,d1,p01
38.75,1.0576,-0.28938,-0.03649,3,-50.5,0.046019,920.75,3,M,d1,p01
38.85,1.0576,-0.28938,-0.03649,3,-52.0,0.9434,924.25,3,M,d1,p01
39.25,1.1632,-0.27789,-0.059296,3,-50.5,5.6159,921.75,3,M,d1,p01
39.35,1.1632,-0.27789,-0.059296,4,-64.5,1.6858,921.75,3,M,d1,p01
39.75,0.9052,-0.20899,-0.15052,4,-67.5,4.5989,924.75,3,M,d1,p01
40.25,1.1397,-0.27789,-0.070699,3,-51.5,1.0907,923.75,3,M,d1,p01
40.5,0.92865,-0.19751,-0.16192,4,-65.5,0.37583,922.75,3,M,d1,p01
41.5,0.91693,-0.19751,-0.16192,3,-50.0,0.13652,920.25,3,M,d1,p01
41.6,0.91693,-0.19751,-0.16192,4,-66.5,6.0822,920.25,3,M,d1,p01
42.0,1.3156,-0.34679,-0.013684,3,-51.0,4.4915,923.25,3,M,d1,p01
42.25,0.9052,-0.19751,-0.16192,4,-68.0,1.2947,924.75,3,M,d1,p01
42.5,0.9052,-0.19751,-0.16192,4,-65.5,0.80687,922.25,3,M,d1,p01
43.0,1.2452,-0.34679,-0.025087,3,-50.5,4.7615,922.75,3,M,d1,p01
43.1,1.2452,-0.34679,-0.025087,3,-50.5,4.7691,922.75,3,M,d1,p01
43.25,0.87003,-0.19751,-0.17333,3,-50.5,5.7264,921.25,3,M,d1,p01
43.35,0.87003,-0.19751,-0.17333,4,-65.5,1.8929,921.25,3,M,d1,p01
43.5,0.9521,-0.18603,-0.15052,3,-50.5,6.0776,920.75,3,M,d1,p01
44.0,0.87003,-0.20899,-0.17333,3,-50.5,0.1534,920.25,3,M,d1,p01
44.1,0.87003,-0.20899,-0.17333,4,-67.5,6.0868,920.25,3,M,d1,p01
44.25,0.87003,-0.20899,-0.17333,4,-66.0,1.4021,921.75,3,M,d1,p01
44.5,0.89348,-0.19751,-0.16192,4,-69.0,4.513,924.75,3,M,d1,p01
44.75,0.89348,-0.19751,-0.16192,3,-50.5,5.0468,922.25,3,M,d1,p01
45.75,1.0342,-0.20899,-0.12771,3,-50.0,5.7417,921.25,3,M,d1,p01
45.85,1.0342,-0.20899,-0.12771,4,-66.0,1.8623,921.25,3,M,d1,p01
46.0,1.0342,-0.20899,-0.12771,3,-50.0,6.0945,920.75,3,M,d1,p01
46.25,1.3156,-0.36976,-0.013684,4,-67.5,4.941,924.25,3,M,d1,p01
46.5,0.92865,-0.18603,-0.15052,3,-50.0,5.3996,921.75,3,M,d1,p01
46.575,0.92865,-0.18603,-0.15052,4,-66.0,1.3514,921.75,3,M,d1,p01
47.25,1.0342,-0.23196,-0.11631,4,-66.0,0.84676,922.25,3,M,d1,p01
47.5,1.0342,-0.23196,-0.11631,3,-51.5,1.0124,923.75,3,M,d1,p01
47.575,1.0342,-0.23196,-0.11631,4,-67.0,5.4809,923.75,3,M,d1,p01
48.0,0.9052,-0.19751,-0.17333,4,-66.5,0.23163,922.75,3,M,d1,p01
48.5,1.1514,-0.30086,-0.047893,3,-50.5,6.0669,920.75,3,M,d1,p01
48.75,0.9052,-0.17454,-0.17333,3,-52.5,0.75012,924.25,3,M,d1,p01
49.0,1.3039,-0.33531,-0.0022806,4,-66.5,6.0163,920.25,3,M,d1,p01
49.1,1.3039,-0.33531,-0.0022806,4,-65.5,1.3039,921.75,3,M,d1,p01
50.0,0.94038,-0.18603,-0.16192,4,-66.5,5.3321,923.75,3,M,d1,p01
50.5,0.92865,-0.19751,-0.15052,4,-65.5,1.8623,921.25,3,M,d1,p01
50.75,0.92865,-0.19751,-0.15052,3,-50.5,6.0638,920.75,3,M,d1,p01
50.825,0.92865,-0.19751,-0.15052,4,-66.0,5.4272,920.75,3,M,d1,p01
51.75,1.1866,-0.30086,-0.03649,4,-66.0,5.8951,923.25,3,M,d1,p01
52.0,1.1866,-0.30086,-0.03649,4,-68.0,4.3918,924.75,3,M,d1,p01
52.75,0.94038,-0.17454,-0.15052,4,-65.5,0.21783,922.75,3,M,d1,p01
52.85,0.94038,-0.17454,-0.15052,3,-50.5,5.6987,921.25,3,M,d1,p01
53.5,1.0342,-0.20899,-0.11631,3,-50.5,6.0562,920.75,3,M,d1,p01
53.6,1.0342,-0.20899,-0.11631,4,-67.5,4.8689,924.25,3,M,d1,p01
53.75,1.0342,-0.20899,-0.11631,4,-66.5,5.9933,920.25,3,M,d1,p01
53.825,1.0342,-0.20899,-0.11631,4,-65.5,1.2947,921.75,3,M,d1,p01
54.0,0.88175,-0.17454,-0.16192,4,-66.5,5.8874,923.25,3,M,d1,p01
54.25,0.88175,-0.17454,-0.16192,4,-68.5,4.3519,924.75,3,M,d1,p01
54.5,0.88175,-0.17454,-0.16192,3,-50.5,5.01,922.25,3,M,d1,p01
55.0,1.1983,-0.28938,-0.03649,4,-66.5,5.3337,923.75,3,M,d1,p01
55.25,1.1983,-0.28938,-0.03649,3,-50.0,5.7202,921.25,3,M,d1,p01
55.325,0.99901,-0.17454,-0.13912,3,-50.0,5.7171,921.25,3,M,d1,p01
55.5,0.99901,-0.17454,-0.13912,4,-65.5,1.7794,921.25,3,M,d1,p01
56.0,1.1045,-0.24344,-0.070699,4,-67.5,4.8428,924.25,3,M,d1,p01
56.25,0.9521,-0.17454,-0.15052,3,-50.0,5.3643,921.75,3,M,d1,p01
56.5,0.9521,-0.17454,-0.15052,4,-65.5,1.2824,921.75,3,M,d1,p01
57.25,1.1632,-0.27789,-0.059296,3,-51.5,4.1233,923.75,3,M,d1,p01
57.35,1.1632,-0.27789,-0.059296,4,-66.5,5.3444,923.75,3,M,d1,p01
57.5,1.1632,-0.27789,-0.059296,3,-50.5,4.7063,922.75,3,M,d1,p01
58.5,1.0811,-0.23196,-0.10491,4,-67.5,4.7968,924.25,3,M,d1,p01
58.75,0.96383,-0.17454,-0.16192,3,-50.0,5.3827,921.75,3,M,d1,p01
58.825,0.96383,-0.17454,-0.16192,4,-65.5,4.3964,921.75,3,M,d1,p01
